id,nombre,descripcion,categoria,unidad_medida_default,fecha_alta,activo,marca,cantidad_por_unidad,,,,,Precio
1,1 Lt. Botella,Botella para llevar pulque,Desechables,pieza,15/5/2025,t,Por definir,1,,,,,
2,Vaso liso 1 lt,Vaso de uso y p llevar,Desechables,bolsa,16/5/2025,t,Reyma,1,,,,,61
3,1/2 Lt. Botella,Botella para llevar pulque,Desechables,pieza,17/5/2025,t,Por definir,1,,,,,
4,Vaso Liso 1/2 Lt,Vaso de uso y p llevar,Desechables,bolsa,18/5/2025,t,Reyma,1,,,,,
5,2 Lt. Botella,Botella para llevar pulque,Desechables,pieza,19/5/2025,t,Por definir,1,,,,,
6,420 Beer,Cerveza Cannabica,Cerveza Artesanal,6 Piezas,20/5/2025,t,Por definir,1,,,,,
7,Cabeza de Lomo,Carne base de la carne árabe,Proteínas,Kg,21/5/2025,t,Por definir,1,,,,,
8,Aceite 5Lts,Galón de 5 Lts,Suministros,Litro,22/5/2025,t,Impperial,1,,,,,5 litris imperial 168
9,Aceitunas,Por definir,Botana,Por definir,23/5/2025,t,Por definir,1,,,,,
10,Agua Botella,Por definir,Bebidas y Gaseosas,pza,25/5/2025,t,Por definir,1,,,,,
11,Agua embotellada,Por definir,Bebidas y Gaseosas,pieza,26/5/2025,t,Por definir,1,,,,,
12,Agua Mineral Botella 355 Ml,Por definir,Bebidas y Gaseosas,pieza,27/5/2025,t,Por definir,1,,,,,
13,Aguamiel,Por definir,Pulquería,Kg,28/5/2025,t,Por definir,1,,,,,
14,Ajo,Por definir,Frutas y Verduras,Kg,29/5/2025,t,Por definir,1,,,,,125
15,Albahaca,Por definir,Especias y Condimientos,Kg,30/5/2025,t,Por definir,1,,,,,
16,Apio,Por definir,Frutas y Verduras,Por definir,31/5/2025,t,Por definir,1,,,,,
17,Arándano,Por definir,Frutas y Verduras,Kg,1/6/2025,t,Por definir,1,,,,,130
18,Azucar,Por definir,Especias y Condimientos,Kg,2/6/2025,t,Por definir,1,,,,,19
