id,insumo_id,proveedor_id,precio_referencia
,13,1,30
,132,1,22
,13,9,50
,132,9,45
,203,9,90
,47,2,41
,161,2,24
,162,2,24
,32,2,78
,50,2,84
,2,2,61
,114,2,30
,147,2,25
,151,2,36
,19,2,19
,24,2,140
,26,2,166
,37,2,400
,55,2,150
,77,2,83
,116,2,110
,118,2,140
,121,2,33
,122,2,200
,141,2,75
,142,2,12
,167,2,18
,174,2,22
,202,2,44
,14,2,125
,17,2,130
,27,2,85
,28,2,30
,30,2,24
,43,2,14
,61,2,7.5
,88,2,16
,93,2,20
,96,2,20
,97,2,12
,110,2,2
,127,2,21
,128,2,26
,92,2,26
,133,2,125
,135,2,125
,137,2,36
,67,2,10
,44,2,95
,69,2,33
,82,2,45
,129,2,91
,153,2,140
,8,2,168
,23,2,79.5
,38,2,18
,48,2,99
,75,2,41
,89,2,230
,101,2,45
,104,2,288
,105,2,110
,143,2,165
,150,2,80
,165,2,27
,172,2,123
,153,3,120
,155,3,240
,71,4,30
,72,4,60
,74,4,90
,123,4,40
,7,6,120
,41,6,110
,153,6,120
,155,6,220
,211,6,140
,101,6,40
,95,14,750
,186,14,60
,212,14,920
,159,17,3
,159,18,3
,159,19,3.5
,189,20,17
,209,20,110
,193,21,160
,61,22,5
,36,23,660
,210,23,600
,159,25,4.5
,213,26,500
,6,12,500
,65,11,345
,58,11,324
,66,11,527
,117,24,1068
,104,3,289.99
,134,3,166.9
,136,3,166.9
,138,3,239.96
,133,3,136
,137,3,31
,217,3,38
,76,29,210
,18,8,22.5
,42,5,79
,68,5,159
,106,5,45
,107,5,45
,108,5,790
,139,5,120
,140,5,130
,175,5,159
,177,5,145
,176,5,130
